Rating,Title,Review,Author,Date
5,Frocks,Cool n comfort,lakshmikeerthi,2026-06-03T21:32:26Z
5,Ram,Good,RomaRam,2026-06-02T11:08:26Z
5,Saree,Beautiful saree I love this,Poonam Tewari,2026-06-01T12:09:11Z
5,Best App for shopping,Best App for shopping,RC8010,2026-06-01T11:29:41Z
5,Nice,Mojaaa,Kamal Pao,2026-06-01T07:48:58Z
5,Perfect,I love it,Huujrv,2026-06-01T02:57:29Z
5,Awesome experience,Really good,Yabor Bern,2026-05-31T01:07:29Z
5,Impressed,Nice,Sweetyyyyy_sahuthi,2026-05-30T23:56:38Z
5,Best for ethnic collection,"Really love this shopping app , best clothes and latest style",kapilatree,2026-05-29T05:32:44Z
5,Nice,Very nice,ChandniGy,2026-05-28T10:42:59Z
1,Worst dilvery they provide,Myntra i would really request if you can’t deliver on a particular adress do mention it when customer place orders its ridiculous how you guyz have done the tie up with the delivery companies this delivery don’t even try to deliver the parcel its seems like its depends on their mood they randomly cancel your order without any attempt really bad service,Pav1005,2026-05-25T08:52:55Z
5,Hooves women PU comfort sandals,Beautiful 😍,Munira Kherani,2026-05-25T02:48:25Z
1,No fixed date for delivery,very poor service 🤢,jack282e,2026-05-24T15:45:43Z
5,It’s really nice,I love how fast I get my product,Fizaaaaashahhh,2026-05-23T12:44:34Z
5,Always my favorite,All services are on time …,Surbhibnsl,2026-05-23T11:59:09Z
5,Dress,Best app to buy dresses and footwear.. highly recommend,Manum@1995,2026-05-21T19:18:41Z
5,Liked it,It’s really good,Bhavanik63,2026-05-16T11:21:54Z
5,Really me happy,Really me happy for myntra,Surekha rajput,2026-05-15T08:12:22Z
5,Best app for shopping,All time I get good customer care support and Thts the best thing compare to other app so I always order things from Myntra for best and trusted service ever 👍even the delivery service is best,Dr.chitra,2026-05-14T08:33:28Z
5,Best app,Very good product cloth quality is really nice,I loved the app and the cloth,2026-05-11T17:40:59Z
5,Shopping,It’s really good service on time,@A@s@,2026-01-29T16:40:47Z
5,Very good,Too good,SAMUDVITA,2026-01-29T12:53:30Z
5,Great shopping experience,"Easy to use app with a huge variety of styles. Quality is good, delivery is fast, and returns are hassle-free. Myntra is my go-to for fashion shopping!",Ramz Reddy,2026-01-29T07:33:16Z
5,Floral print layered fit &flare,Very nice material and love the colors on the dress and very comfortable fabric,Shreya reddy,2026-01-27T17:25:42Z
5,Ali,It’s recommended,Ayya119,2026-01-25T07:31:58Z
5,Smooth shopping experience,"Great options, amazing variety, smooth order placement and easy returns",Niki8591,2026-01-23T16:33:44Z
5,Amazing quality,The colour and quality is absolutely great.!,akki9611,2026-01-22T16:02:01Z
5,Shoes review,Dope quality,Ajemeeerrrrr,2026-01-22T15:29:48Z
5,Sunglasses,"Amazing comfort , great quality , good to buy .",MANAN0291,2026-01-21T07:03:52Z
5,Embroidery work is so fine,Amazing fabric with good embroidery work,Neha12356,2026-01-21T00:30:49Z
5,Supper,Fantastic 🫶,Arfa Altaf,2026-01-20T10:16:22Z
5,Good,Good one,m@nvi,2026-01-20T05:06:03Z
5,Good,Very good,Crownmanuks,2026-01-18T17:34:33Z
5,H&M NightSuit,Great fit and style,bebo255,2026-01-18T13:37:21Z
5,Valuable application,Good products,Romi😊,2026-01-14T18:22:47Z
5,Best,Best,Gdsvarwal,2026-01-14T15:01:25Z
5,Happy with this purchase❤️,Jacket is too good but lil expensive ✨,shona jonwal,2026-01-14T13:51:01Z
5,Good,Good,Pri 545,2026-01-14T11:07:53Z
5,😍😍,😍🥰1st time mangaaya h,Khushi  Singh,2026-01-13T04:44:26Z
5,Loved it,Loved it,GeethaGopakumar,2026-01-12T12:20:12Z
5,Awesome products,Very authentic products and delivery is fast,Fkimn,2026-08-20T14:33:45Z
5,I Love Myntra,🥰,PJShukla,2026-08-20T07:09:02Z
5,Dress,Too good,Simiaroraaa,2026-08-19T15:05:42Z
1,Feedback,Website is working too slow. Taking time to upload the content.,inanayan,2026-08-19T10:56:13Z
3,Lipstick,Good product very good,shfjj gf,2026-08-19T08:11:29Z
5,Great,Very good service,Yahuuuoooo,2026-08-19T05:46:07Z
3,Dove shower,Thank you Myntra I get my order,Nasuura,2026-08-18T13:23:10Z
5,Trust worthy,"I have using Myntra for years, and even when I have now moved abroad I order stuff from my family from here.",K Adhikari,2026-08-18T04:22:11Z
5,Great quality and good looking,This dress size and fit is perfect and the material quality is great too. Didn't cause an itch or rash,3z1e,2026-08-17T23:09:15Z
5,Myntra,My one and only online shopping destination,Nababita,2026-08-17T16:17:47Z
5,Myntra is my go to for shopping,Myntra never disappoints me accept for once.,Kihars,2026-08-17T14:50:46Z
5,Good  products,👏👏👏,Mansur sameer,2026-08-16T10:12:12Z
5,Bedsheet is beautiful with lace,It’s awesome quality,Swathi5818,2026-08-15T12:50:51Z
5,Lipstick,Is to good,Swaralipi’s channel,2026-08-12T10:04:32Z
5,Shopping at Myntra,"It’s a pleasure shopping at Myntra , u always get what u r looking for ❤️",sardesai,2026-08-12T02:39:48Z
5,Ponds bb cream,Best product,Haripriya palampalli,2026-08-09T17:58:20Z
5,Perfect,Cotton .. good quality.. thanks,JPANWAR,2026-08-08T13:36:26Z
5,Girls ethnic clothes,Soft cotton fabric,Okikku6,2026-08-08T00:44:07Z
5,New,Nice,Salman kaji,2026-08-07T14:24:05Z
5,Product,Good,Jagadeeeee,2026-08-06T19:44:41Z
5,Coord set,One word - perfect,Ritu Anil Verma,2026-01-12T07:18:13Z
